distance_km,weather_index,traffic_index,base_production_per_week,production_variability,routing_complexity,supply_risk,external_severity,day_of_week,is_weekend,week_of_month,priority_encoded,delay_hours,factory_id,project_id,date,priority_level
141.68,0.95,0.78,42,0.06,1.0240557191996345,2.52,0.865,3,0,0,0,3.1500000000000004,F2,P110,2026-04-02,Low
420.3,0.95,0.78,43,0.15,1.0265658546733971,6.45,0.865,3,0,0,0,9.07,F3,P190,2026-04-02,Low
304.99,0.95,0.78,42,0.06,1.0172841784515825,2.52,0.865,3,0,0,2,8.21,F2,P109,2026-04-02,High
353.65,0.11,0.93,31,0.14,1.0245826754098173,4.340000000000001,0.52,4,0,0,1,4.050000000000001,F5,P115,2026-04-03,Medium
463.46,0.11,0.93,31,0.14,1.000309087477372,4.340000000000001,0.52,4,0,0,1,9.2,F5,P150,2026-04-03,Medium
634.12,0.11,0.93,30,0.17,1.0302078776590589,5.1000000000000005,0.52,4,0,0,0,11.05,F1,P62,2026-04-03,Low
1002.63,0.11,0.93,31,0.14,1.0189941760862449,4.340000000000001,0.52,4,0,0,1,13.89,F5,P87,2026-04-03,Medium
712.02,0.11,0.93,31,0.14,1.0234288484819758,4.340000000000001,0.52,4,0,0,1,14.56,F5,P3,2026-04-03,Medium
271.5,0.11,0.93,42,0.06,1.013184501141683,2.52,0.52,4,0,0,1,5.430000000000001,F2,P123,2026-04-03,Medium
690.75,0.11,0.93,49,0.08,1.013602654998463,3.92,0.52,4,0,0,2,11.03,F4,P130,2026-04-03,High
72.89,0.11,0.93,42,0.06,1.031445874658506,2.52,0.52,4,0,0,1,1.05,F2,P154,2026-04-03,Medium
422.36,0.11,0.93,49,0.08,1.0000670567499692,3.92,0.52,4,0,0,1,7.58,F4,P81,2026-04-03,Medium
481.14,0.11,0.93,49,0.08,1.018891113219611,3.92,0.52,4,0,0,1,5.459999999999999,F4,P181,2026-04-03,Medium
594.9,0.11,0.93,49,0.08,1.0228950673298214,3.92,0.52,4,0,0,1,9.750000000000002,F4,P195,2026-04-03,Medium
770.82,0.11,0.93,49,0.08,0.9990735217875922,3.92,0.52,4,0,0,1,12.94,F4,P32,2026-04-03,Medium
355.51,0.11,0.93,30,0.17,1.03296983445394,5.1000000000000005,0.52,4,0,0,0,7.280000000000001,F1,P43,2026-04-03,Low
392.01,0.11,0.93,30,0.17,1.025665095477709,5.1000000000000005,0.52,4,0,0,2,4.93,F1,P83,2026-04-03,High
530.87,0.11,0.93,43,0.15,1.002060701154017,6.45,0.52,4,0,0,1,8.95,F3,P127,2026-04-03,Medium
162.62,0.11,0.93,43,0.15,0.9983752048229542,6.45,0.52,4,0,0,1,2.29,F3,P12,2026-04-03,Medium
547.91,0.11,0.93,49,0.08,1.001896395324651,3.92,0.52,4,0,0,1,6.550000000000001,F4,P154,2026-04-03,Medium
385.01,0.11,0.93,42,0.06,1.0192256098963068,2.52,0.52,4,0,0,1,4.659999999999998,F2,P19,2026-04-03,Medium
571.14,0.11,0.93,49,0.08,1.016895538582024,3.92,0.52,4,0,0,0,11.49,F4,P50,2026-04-03,Low
268.72,0.11,0.93,31,0.14,1.0078653966729143,4.340000000000001,0.52,4,0,0,0,4.920000000000001,F5,P107,2026-04-03,Low
340.36,0.11,0.93,30,0.17,1.0319690731695748,5.1000000000000005,0.52,4,0,0,0,4.66,F1,P20,2026-04-03,Low
671.11,0.11,0.93,43,0.15,1.0164964950455595,6.45,0.52,4,0,0,2,8.54,F3,P49,2026-04-03,High
774.08,0.11,0.93,30,0.17,1.0299151602902838,5.1000000000000005,0.52,4,0,0,2,9.959999999999996,F1,P4,2026-04-03,High
600.16,0.11,0.93,31,0.14,1.0226231050494985,4.340000000000001,0.52,4,0,0,2,12.36,F5,P17,2026-04-03,High
264.31,0.11,0.93,42,0.06,1.0047122268038262,2.52,0.52,4,0,0,0,5.04,F2,P20,2026-04-03,Low
410.87,0.11,0.93,30,0.17,1.0224887266862617,5.1000000000000005,0.52,4,0,0,1,5.25,F1,P35,2026-04-03,Medium
324.14,0.11,0.93,42,0.06,0.99946674444657,2.52,0.52,4,0,0,0,4.960000000000001,F2,P192,2026-04-03,Low
484.75,0.11,0.93,31,0.14,1.0222880334551343,4.340000000000001,0.52,4,0,0,0,9.83,F5,P40,2026-04-03,Low
415.07,0.11,0.93,30,0.17,1.0027038110274686,5.1000000000000005,0.52,4,0,0,0,8.359999999999998,F1,P74,2026-04-03,Low
18.25,0.11,0.93,30,0.17,1.000922269354924,5.1000000000000005,0.52,4,0,0,2,0.1699999999999999,F1,P197,2026-04-03,High
101.85,0.11,0.93,49,0.08,1.0132948339838836,3.92,0.52,4,0,0,0,1.0100000000000002,F4,P173,2026-04-03,Low
690.65,0.11,0.93,31,0.14,1.0027346770049712,4.340000000000001,0.52,4,0,0,0,7.09,F5,P151,2026-04-03,Low
662.95,0.11,0.93,49,0.08,1.0233320508702712,3.92,0.52,4,0,0,2,10.11,F4,P28,2026-04-03,High
146.91,0.11,0.93,31,0.14,1.026310278112209,4.340000000000001,0.52,4,0,0,0,2.9400000000000004,F5,P99,2026-04-03,Low
18.25,0.97,1.0,30,0.17,1.000922269354924,5.1000000000000005,0.985,5,1,0,2,0.3899999999999999,F1,P197,2026-04-04,High
425.91,0.97,1.0,42,0.06,1.0234518282976046,2.52,0.985,5,1,0,1,11.79,F2,P93,2026-04-04,Medium
365.02,0.97,1.0,49,0.08,1.008868182471029,3.92,0.985,5,1,0,2,7.479999999999999,F4,P37,2026-04-04,High
636.58,0.97,1.0,30,0.17,1.0127062142036938,5.1000000000000005,0.985,5,1,0,0,20.24,F1,P185,2026-04-04,Low
293.09,0.97,1.0,30,0.17,0.999311426925406,5.1000000000000005,0.985,5,1,0,2,9.81,F1,P132,2026-04-04,High
502.6,0.97,1.0,43,0.15,1.0511579287088688,6.45,0.985,5,1,0,1,15.77,F3,P111,2026-04-04,Medium
337.58,0.97,1.0,42,0.06,1.032940359226938,2.52,0.985,5,1,0,1,11.660000000000002,F2,P33,2026-04-04,Medium
463.88,0.97,1.0,49,0.08,1.0047357166061048,3.92,0.985,5,1,0,0,11.24,F4,P21,2026-04-04,Low
67.21,0.97,1.0,31,0.14,1.0148156005098987,4.340000000000001,0.985,5,1,0,2,1.97,F5,P11,2026-04-04,High
69.42,0.97,1.0,43,0.15,1.0210065922670486,6.45,0.985,5,1,0,2,1.97,F3,P31,2026-04-04,High
425.91,0.97,1.0,42,0.06,1.0234518282976046,2.52,0.985,5,1,0,1,10.64,F2,P93,2026-04-04,Medium
201.14,0.97,1.0,49,0.08,1.0135181218967837,3.92,0.985,5,1,0,0,6.2,F4,P42,2026-04-04,Low
426.06,0.97,1.0,31,0.14,1.0042287575341242,4.340000000000001,0.985,5,1,0,0,8.839999999999998,F5,P5,2026-04-04,Low
429.53,0.97,1.0,30,0.17,1.022837578440182,5.1000000000000005,0.985,5,1,0,2,14.21,F1,P172,2026-04-04,High
209.96,0.97,1.0,49,0.08,1.0134751414156868,3.92,0.985,5,1,0,2,5.15,F4,P83,2026-04-04,High
59.28,0.97,1.0,31,0.14,1.0138083693189532,4.340000000000001,0.985,5,1,0,1,1.7400000000000002,F5,P144,2026-04-04,Medium
647.27,0.97,1.0,49,0.08,1.0017712833257937,3.92,0.985,5,1,0,1,18.840000000000003,F4,P114,2026-04-04,Medium
501.58,0.97,1.0,31,0.14,1.0250069450543735,4.340000000000001,0.985,5,1,0,0,16.7,F5,P143,2026-04-04,Low
118.47,0.97,1.0,42,0.06,1.0103417157069388,2.52,0.985,5,1,0,0,3.1100000000000003,F2,P119,2026-04-04,Low
317.29,0.97,1.0,42,0.06,1.0428933418693986,2.52,0.985,5,1,0,1,9.82,F2,P171,2026-04-04,Medium
749.65,0.97,1.0,43,0.15,1.0028564563324411,6.45,0.985,5,1,0,1,18.33,F3,P117,2026-04-04,Medium
693.19,0.97,1.0,49,0.08,1.0098096582240963,3.92,0.985,5,1,0,1,18.29,F4,P58,2026-04-04,Medium
378.59,0.97,1.0,42,0.06,1.0038947481782037,2.52,0.985,5,1,0,1,8.77,F2,P176,2026-04-04,Medium
765.24,0.97,1.0,31,0.14,1.0029065482736843,4.340000000000001,0.985,5,1,0,0,25.77,F5,P112,2026-04-04,Low
537.43,0.97,1.0,42,0.06,1.0277566532964426,2.52,0.985,5,1,0,2,12.52,F2,P160,2026-04-04,High
620.62,0.97,1.0,43,0.15,1.015760789438071,6.45,0.985,5,1,0,2,17.580000000000002,F3,P135,2026-04-04,High
410.66,0.97,1.0,49,0.08,1.0222286626482575,3.92,0.985,5,1,0,2,10.7,F4,P89,2026-04-04,High
308.96,0.97,1.0,43,0.15,1.0023991642241183,6.45,0.985,5,1,0,1,6.680000000000001,F3,P193,2026-04-04,Medium
848.32,0.97,1.0,31,0.14,1.0231418844001594,4.340000000000001,0.985,5,1,0,1,21.35,F5,P114,2026-04-04,Medium
353.09,0.97,1.0,42,0.06,1.0374400351396746,2.52,0.985,5,1,0,0,7.459999999999999,F2,P162,2026-04-04,Low
607.34,0.97,1.0,31,0.14,0.9984262468265818,4.340000000000001,0.985,5,1,0,2,15.36,F5,P109,2026-04-04,High
281.96,0.97,1.0,42,0.06,1.0171974020147774,2.52,0.985,5,1,0,2,7.55,F2,P34,2026-04-04,High
389.39,0.97,1.0,42,0.06,1.0414289548446494,2.52,0.985,5,1,0,2,10.11,F2,P88,2026-04-04,High
425.4,0.97,1.0,42,0.06,1.0300223590686344,2.52,0.985,5,1,0,0,10.159999999999998,F2,P10,2026-04-04,Low
642.06,0.97,1.0,43,0.15,1.019522621996362,6.45,0.985,5,1,0,2,20.8,F3,P79,2026-04-04,High
329.39,0.06,0.74,43,0.15,1.0552781998479723,6.45,0.4,6,1,0,2,4.27,F3,P109,2026-04-05,High
341.89,0.06,0.74,31,0.14,0.9983912735822276,4.340000000000001,0.4,6,1,0,1,3.799999999999999,F5,P157,2026-04-05,Medium
355.63,0.06,0.74,30,0.17,1.0124920101695063,5.1000000000000005,0.4,6,1,0,1,4.809999999999999,F1,P63,2026-04-05,Medium
879.92,0.06,0.74,31,0.14,1.016981564754172,4.340000000000001,0.4,6,1,0,1,7.02,F5,P32,2026-04-05,Medium
585.97,0.06,0.74,31,0.14,1.0194125975254618,4.340000000000001,0.4,6,1,0,2,4.290000000000001,F5,P47,2026-04-05,High
558.3,0.06,0.74,49,0.08,1.021331746439313,3.92,0.4,6,1,0,2,6.289999999999999,F4,P135,2026-04-05,High
354.12,0.06,0.74,42,0.06,1.0275269832751937,2.52,0.4,6,1,0,2,4.700000000000001,F2,P125,2026-04-05,High
252.54,0.06,0.74,42,0.06,1.0387817727938424,2.52,0.4,6,1,0,1,2.7,F2,P63,2026-04-05,Medium
508.45,0.06,0.74,43,0.15,0.9999310157708892,6.45,0.4,6,1,0,2,4.859999999999999,F3,P97,2026-04-05,High
353.29,0.06,0.74,49,0.08,1.0025781154415072,3.92,0.4,6,1,0,0,5.130000000000001,F4,P186,2026-04-05,Low
206.86,0.06,0.74,43,0.15,1.0147183917300122,6.45,0.4,6,1,0,1,1.75,F3,P82,2026-04-05,Medium
461.52,0.06,0.74,30,0.17,1.0222840297530835,5.1000000000000005,0.4,6,1,0,0,7.420000000000002,F1,P126,2026-04-05,Low
245.2,0.06,0.74,42,0.06,1.025199145905967,2.52,0.4,6,1,0,1,2.000000000000001,F2,P134,2026-04-05,Medium
437.29,0.06,0.74,30,0.17,1.0323937690164156,5.1000000000000005,0.4,6,1,0,1,4.98,F1,P57,2026-04-05,Medium
476.53,0.06,0.74,30,0.17,1.0312180423779644,5.1000000000000005,0.4,6,1,0,1,7.32,F1,P127,2026-04-05,Medium
136.35,0.06,0.74,31,0.14,1.017209553600264,4.340000000000001,0.4,6,1,0,1,1.7299999999999995,F5,P195,2026-04-05,Medium
212.01,0.06,0.74,42,0.06,1.0363809753895057,2.52,0.4,6,1,0,1,2.79,F2,P84,2026-04-05,Medium
350.23,0.06,0.74,42,0.06,1.0010738195249305,2.52,0.4,6,1,0,1,3.7200000000000006,F2,P60,2026-04-05,Medium
334.72,0.06,0.74,42,0.06,1.0224695268051454,2.52,0.4,6,1,0,0,3.770000000000002,F2,P101,2026-04-05,Low
634.03,0.06,0.74,49,0.08,1.0234933100425871,3.92,0.4,6,1,0,0,8.53,F4,P99,2026-04-05,Low
675.19,0.06,0.74,43,0.15,1.0058866863447269,6.45,0.4,6,1,0,2,6.66,F3,P153,2026-04-05,High
290.2,0.06,0.74,43,0.15,0.998341591504243,6.45,0.4,6,1,0,2,1.99,F3,P23,2026-04-05,High
506.07,0.06,0.74,43,0.15,1.048684233099834,6.45,0.4,6,1,0,0,7.24,F3,P156,2026-04-05,Low
806.12,0.06,0.74,49,0.08,0.9995213643138604,3.92,0.4,6,1,0,1,8.220000000000002,F4,P165,2026-04-05,Medium
143.0,0.06,0.74,42,0.06,1.035260129377532,2.52,0.4,6,1,0,1,1.31,F2,P35,2026-04-05,Medium
708.39,0.06,0.74,30,0.17,1.0343281774194126,5.1000000000000005,0.4,6,1,0,2,10.169999999999998,F1,P130,2026-04-05,High
415.07,0.06,0.74,30,0.17,1.0027038110274686,5.1000000000000005,0.4,6,1,0,0,6.909999999999998,F1,P74,2026-04-05,Low
581.06,0.06,0.74,49,0.08,1.023118630963255,3.92,0.4,6,1,0,0,7.1800000000000015,F4,P152,2026-04-05,Low
459.81,0.06,0.74,31,0.14,0.9992382754079197,4.340000000000001,0.4,6,1,0,1,7.809999999999999,F5,P58,2026-04-05,Medium
571.56,0.06,0.74,31,0.14,1.0103824961233745,4.340000000000001,0.4,6,1,0,0,6.140000000000001,F5,P126,2026-04-05,Low
647.62,0.06,0.74,30,0.17,1.0210086452917937,5.1000000000000005,0.4,6,1,0,1,7.439999999999998,F1,P138,2026-04-05,Medium
329.46,0.06,0.74,30,0.17,1.0110924545912523,5.1000000000000005,0.4,6,1,0,0,2.4000000000000004,F1,P191,2026-04-05,Low
671.11,0.06,0.74,43,0.15,1.0164964950455595,6.45,0.4,6,1,0,2,8.149999999999999,F3,P49,2026-04-05,High
223.11,0.06,0.74,42,0.06,0.9984417876320312,2.52,0.4,6,1,0,2,3.42,F2,P163,2026-04-05,High
253.88,0.06,0.74,49,0.08,1.019597182607719,3.92,0.4,6,1,0,0,2.17,F4,P85,2026-04-05,Low
491.17,0.06,0.74,49,0.08,1.0104506585300816,3.92,0.4,6,1,0,0,5.340000000000002,F4,P119,2026-04-05,Low
629.0,0.06,0.74,30,0.17,1.029563445740587,5.1000000000000005,0.4,6,1,0,1,9.7,F1,P39,2026-04-05,Medium
566.81,0.06,0.74,49,0.08,1.000063664859242,3.92,0.4,6,1,0,2,7.889999999999999,F4,P172,2026-04-05,High
61.31,0.06,0.74,31,0.14,0.9982662463141746,4.340000000000001,0.4,6,1,0,0,0.53,F5,P148,2026-04-05,Low
135.04,0.06,0.74,42,0.06,1.034960631308158,2.52,0.4,6,1,0,2,1.7199999999999998,F2,P23,2026-04-05,High
296.93,0.06,0.74,42,0.06,1.0130686416069317,2.52,0.4,6,1,0,0,2.869999999999999,F2,P179,2026-04-05,Low
406.45,0.06,0.74,31,0.14,1.0214467058707586,4.340000000000001,0.4,6,1,0,1,3.17,F5,P178,2026-04-05,Medium
329.76,0.06,0.74,43,0.15,1.0464666641547953,6.45,0.4,6,1,0,1,5.25,F3,P114,2026-04-05,Medium
