factory_id,project_id,date,priority_level,distance_km,weather_index,traffic_index,base_production_per_week,production_variability,routing_complexity,supply_risk,external_severity,day_of_week,is_weekend,week_of_month,priority_encoded,delay_hours,predicted_delay_hours,risk_label,current_reward,reward_at_risk,best_action,reward_delta,new_pred_hours,recommendation,base_value,shap_distance_km,shap_weather_index,shap_traffic_index,shap_base_production_per_week,shap_production_variability,shap_routing_complexity,shap_supply_risk,shap_external_severity,shap_day_of_week,shap_is_weekend,shap_week_of_month,shap_priority_encoded,top_driver_1,top_driver_1_shap,top_driver_2,top_driver_2_shap,top_driver_3,top_driver_3_shap,top_mitigator,mitigator_shap,plain_explanation,dispatch_rank
F4,P192,2026-04-25,Low,345.73,0.48,0.08,49,0.08,1.0192016762907026,3.92,0.2799999999999999,5,1,3,0,2.119999999999999,3.93,low risk,10.0,10.0,none_needed,0.0,3.93,On-time — no action needed,7.697,-1.433,-0.271,-0.289,0.177,-0.029,-0.055,-0.008,-2.202,0.012,-0.0,0.287,0.073,week_of_month,0.287,base_production_per_week,0.177,priority_encoded,0.073,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.29h | base_production_per_week: +0.18h | priority_encoded: +0.07h | Helping: is_weekend: -0.00h,25
F4,P44,2026-04-25,Medium,767.98,0.48,0.08,49,0.08,1.0139788795570812,3.92,0.2799999999999999,5,1,3,1,9.810000000000002,7.63,HIGH RISK,-15.79,15.79,reschedule,25.79,7.22,Reschedule to 2026-04-24 (severity 0.32) → pred 7.22h [Δ +25.8],7.697,4.146,-0.339,-0.727,0.245,0.015,0.084,-0.024,-3.463,0.051,0.006,0.443,0.044,distance_km,4.146,week_of_month,0.443,base_production_per_week,0.245,supply_risk,-0.024,Base: 7.7h | Drivers: distance_km: +4.15h | week_of_month: +0.44h | base_production_per_week: +0.24h | Helping: supply_risk: -0.02h,17
F2,P121,2026-04-25,Medium,445.72,0.48,0.08,42,0.06,1.0264407639252282,2.52,0.2799999999999999,5,1,3,1,2.209999999999999,4.72,low risk,10.0,10.0,none_needed,0.0,4.72,On-time — no action needed,7.697,-0.241,-0.323,-0.48,-0.05,-0.004,-0.056,0.008,-2.248,0.02,-0.0,0.296,-0.013,week_of_month,0.296,day_of_week,0.02,supply_risk,0.008,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.30h | day_of_week: +0.02h | supply_risk: +0.01h | Helping: is_weekend: -0.00h,26
F4,P19,2026-04-25,Medium,772.79,0.48,0.08,49,0.08,0.998243509722356,3.92,0.2799999999999999,5,1,3,1,8.91,7.63,HIGH RISK,-15.79,15.79,reschedule,25.79,7.22,Reschedule to 2026-04-24 (severity 0.32) → pred 7.22h [Δ +25.8],7.697,4.104,-0.339,-0.736,0.244,0.018,-0.187,-0.024,-3.562,0.045,0.006,0.473,0.052,distance_km,4.104,week_of_month,0.473,base_production_per_week,0.244,supply_risk,-0.024,Base: 7.7h | Drivers: distance_km: +4.10h | week_of_month: +0.47h | base_production_per_week: +0.24h | Helping: supply_risk: -0.02h,18
F2,P140,2026-04-25,Low,256.98,0.48,0.08,42,0.06,1.0154392889614323,2.52,0.2799999999999999,5,1,3,0,2.43,3.03,low risk,10.0,10.0,none_needed,0.0,3.03,On-time — no action needed,7.697,-2.594,-0.148,-0.34,-0.06,0.053,0.043,0.026,-1.818,0.011,-0.0,0.29,0.074,week_of_month,0.29,priority_encoded,0.074,production_variability,0.053,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.29h | priority_encoded: +0.07h | production_variability: +0.05h | Helping: is_weekend: -0.00h,27
F4,P37,2026-04-25,High,365.02,0.48,0.08,49,0.08,1.008868182471029,3.92,0.2799999999999999,5,1,3,2,1.4299999999999995,3.89,low risk,15.0,20.0,none_needed,0.0,3.89,On-time — no action needed,7.697,-1.495,-0.285,-0.339,0.212,-0.029,0.042,-0.013,-2.2,0.014,0.002,0.503,-0.051,week_of_month,0.503,base_production_per_week,0.212,routing_complexity,0.042,supply_risk,-0.013,Base: 7.7h | Drivers: week_of_month: +0.50h | base_production_per_week: +0.21h | routing_complexity: +0.04h | Helping: supply_risk: -0.01h,6
F2,P55,2026-04-25,High,535.98,0.48,0.08,42,0.06,0.9989953180953216,2.52,0.2799999999999999,5,1,3,2,5.19,5.54,low risk,15.0,20.0,none_needed,0.0,5.54,On-time — no action needed,7.697,1.107,-0.367,-0.658,-0.133,0.001,0.072,0.022,-2.498,0.024,0.002,0.448,-0.051,distance_km,1.107,week_of_month,0.448,routing_complexity,0.072,priority_encoded,-0.051,Base: 7.7h | Drivers: distance_km: +1.11h | week_of_month: +0.45h | routing_complexity: +0.07h | Helping: priority_encoded: -0.05h,7
F1,P33,2026-04-25,Medium,762.42,0.48,0.08,30,0.17,1.0346644950296624,5.1000000000000005,0.2799999999999999,5,1,3,1,9.450000000000005,7.37,HIGH RISK,-15.26,15.26,reschedule,25.26,6.95,Reschedule to 2026-04-10 (severity 0.31) → pred 6.95h [Δ +25.3],7.697,3.993,-0.338,-0.767,0.026,-0.012,-0.01,-0.021,-3.432,0.094,0.006,0.295,0.023,distance_km,3.993,week_of_month,0.295,day_of_week,0.094,routing_complexity,-0.01,Base: 7.7h | Drivers: distance_km: +3.99h | week_of_month: +0.29h | day_of_week: +0.09h | Helping: routing_complexity: -0.01h,20
F3,P86,2026-04-25,Low,433.19,0.48,0.08,43,0.15,1.0211107951679623,6.45,0.2799999999999999,5,1,3,0,3.880000000000001,4.67,low risk,10.0,10.0,none_needed,0.0,4.67,On-time — no action needed,7.697,-0.193,-0.333,-0.415,-0.049,-0.003,-0.294,0.005,-2.414,0.014,-0.0,0.287,0.032,week_of_month,0.287,priority_encoded,0.032,day_of_week,0.014,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.29h | priority_encoded: +0.03h | day_of_week: +0.01h | Helping: is_weekend: -0.00h,28
F3,P42,2026-04-25,Low,645.45,0.48,0.08,43,0.15,1.0048211646168632,6.45,0.2799999999999999,5,1,3,0,3.629999999999999,6.19,low risk,10.0,10.0,none_needed,0.0,6.19,On-time — no action needed,7.697,2.254,-0.449,-0.584,-0.017,-0.001,-0.066,-0.008,-3.002,0.045,-0.0,0.464,0.024,distance_km,2.254,week_of_month,0.464,day_of_week,0.045,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +2.25h | week_of_month: +0.46h | day_of_week: +0.05h | Helping: is_weekend: -0.00h,29
F3,P32,2026-04-25,Medium,225.25,0.48,0.08,43,0.15,1.0542311099343529,6.45,0.2799999999999999,5,1,3,1,1.95,2.66,low risk,10.0,10.0,none_needed,0.0,2.66,On-time — no action needed,7.697,-2.878,-0.173,-0.319,-0.076,-0.031,-0.198,0.037,-1.878,0.013,-0.0,0.284,-0.01,week_of_month,0.284,supply_risk,0.037,day_of_week,0.013,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.28h | supply_risk: +0.04h | day_of_week: +0.01h | Helping: is_weekend: -0.00h,30
F5,P11,2026-04-25,High,67.21,0.48,0.08,31,0.14,1.0148156005098987,4.340000000000001,0.2799999999999999,5,1,3,2,0.78,0.45,low risk,15.0,20.0,none_needed,0.0,0.45,On-time — no action needed,7.697,-5.265,-0.121,-0.302,-0.11,-0.057,0.0,-0.013,-1.831,0.013,0.002,0.346,-0.048,week_of_month,0.346,day_of_week,0.013,is_weekend,0.002,supply_risk,-0.013,Base: 7.7h | Drivers: week_of_month: +0.35h | day_of_week: +0.01h | is_weekend: +0.00h | Helping: supply_risk: -0.01h,8
F5,P105,2026-04-25,Low,793.91,0.48,0.08,31,0.14,1.0263103750889575,4.340000000000001,0.2799999999999999,5,1,3,0,4.689999999999998,7.23,low risk,10.0,10.0,none_needed,0.0,7.23,On-time — no action needed,7.697,3.839,-0.338,-0.696,-0.14,-0.013,-0.044,-0.017,-3.665,0.066,0.006,0.268,0.052,distance_km,3.839,week_of_month,0.268,day_of_week,0.066,production_variability,-0.013,Base: 7.7h | Drivers: distance_km: +3.84h | week_of_month: +0.27h | day_of_week: +0.07h | Helping: production_variability: -0.01h,31
F4,P129,2026-04-25,Medium,636.92,0.48,0.08,49,0.08,1.0226742117635963,3.92,0.2799999999999999,5,1,3,1,6.409999999999998,6.44,low risk,10.0,10.0,none_needed,0.0,6.44,On-time — no action needed,7.697,2.312,-0.443,-0.684,0.181,0.001,-0.098,-0.021,-2.851,0.048,-0.0,0.26,-0.004,distance_km,2.312,week_of_month,0.26,base_production_per_week,0.181,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +2.31h | week_of_month: +0.26h | base_production_per_week: +0.18h | Helping: is_weekend: -0.00h,32
F3,P8,2026-04-25,Low,639.33,0.48,0.08,43,0.15,1.02905390871201,6.45,0.2799999999999999,5,1,3,0,6.239999999999998,6.24,low risk,10.0,10.0,none_needed,0.0,6.24,On-time — no action needed,7.697,2.293,-0.45,-0.545,-0.049,-0.001,-0.031,-0.005,-2.98,0.041,-0.0,0.245,0.011,distance_km,2.293,week_of_month,0.245,day_of_week,0.041,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +2.29h | week_of_month: +0.24h | day_of_week: +0.04h | Helping: is_weekend: -0.00h,33
F5,P139,2026-04-25,Medium,340.15,0.48,0.08,31,0.14,1.002900035112008,4.340000000000001,0.2799999999999999,5,1,3,1,3.51,3.71,low risk,10.0,10.0,none_needed,0.0,3.71,On-time — no action needed,7.697,-1.411,-0.273,-0.385,-0.189,-0.057,-0.001,-0.013,-2.189,0.017,-0.0,0.404,-0.034,week_of_month,0.404,day_of_week,0.017,is_weekend,-0.0,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.40h | day_of_week: +0.02h | Helping: is_weekend: -0.00h,34
F5,P130,2026-04-25,High,396.23,0.48,0.08,31,0.14,0.9982744859177872,4.340000000000001,0.2799999999999999,5,1,3,2,3.289999999999999,3.99,low risk,15.0,20.0,none_needed,0.0,3.99,On-time — no action needed,7.697,-1.061,-0.274,-0.409,-0.188,-0.026,-0.064,-0.013,-2.345,-0.006,0.002,0.414,-0.049,week_of_month,0.414,is_weekend,0.002,day_of_week,-0.006,day_of_week,-0.006,Base: 7.7h | Drivers: week_of_month: +0.41h | is_weekend: +0.00h | Helping: day_of_week: -0.01h,9
F4,P16,2026-04-25,Low,192.04,0.48,0.08,49,0.08,1.011480902878,3.92,0.2799999999999999,5,1,3,0,2.45,2.56,low risk,10.0,10.0,none_needed,0.0,2.56,On-time — no action needed,7.697,-3.232,-0.142,-0.22,0.21,-0.029,0.058,-0.009,-1.968,0.011,-0.0,0.497,0.074,week_of_month,0.497,base_production_per_week,0.21,priority_encoded,0.074,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.50h | base_production_per_week: +0.21h | priority_encoded: +0.07h | Helping: is_weekend: -0.00h,35
F2,P31,2026-04-25,High,344.68,0.48,0.08,42,0.06,1.0120156349290663,2.52,0.2799999999999999,5,1,3,2,3.3000000000000007,3.87,low risk,15.0,20.0,none_needed,0.0,3.87,On-time — no action needed,7.697,-1.391,-0.278,-0.397,-0.134,0.053,0.039,0.022,-2.061,0.014,0.002,0.394,-0.05,week_of_month,0.394,production_variability,0.053,routing_complexity,0.039,priority_encoded,-0.05,Base: 7.7h | Drivers: week_of_month: +0.39h | production_variability: +0.05h | routing_complexity: +0.04h | Helping: priority_encoded: -0.05h,10
F3,P62,2026-04-25,Low,628.13,0.48,0.08,43,0.15,1.0085701208776523,6.45,0.2799999999999999,5,1,3,0,2.890000000000001,6.19,low risk,10.0,10.0,none_needed,0.0,6.19,On-time — no action needed,7.697,2.153,-0.442,-0.506,0.016,-0.002,0.07,-0.008,-2.898,0.078,-0.0,0.541,0.033,distance_km,2.153,week_of_month,0.541,day_of_week,0.078,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +2.15h | week_of_month: +0.54h | day_of_week: +0.08h | Helping: is_weekend: -0.00h,36
F2,P167,2026-04-25,High,302.88,0.48,0.08,42,0.06,0.9995096709173482,2.52,0.2799999999999999,5,1,3,2,3.619999999999999,3.28,low risk,15.0,20.0,none_needed,0.0,3.28,On-time — no action needed,7.697,-2.144,-0.172,-0.4,-0.134,0.036,0.062,0.022,-1.97,0.017,0.002,0.404,-0.061,week_of_month,0.404,routing_complexity,0.062,production_variability,0.036,priority_encoded,-0.061,Base: 7.7h | Drivers: week_of_month: +0.40h | routing_complexity: +0.06h | production_variability: +0.04h | Helping: priority_encoded: -0.06h,11
F1,P34,2026-04-25,High,250.33,0.48,0.08,30,0.17,1.0333899394597217,5.1000000000000005,0.2799999999999999,5,1,3,2,1.38,2.84,low risk,15.0,20.0,none_needed,0.0,2.84,On-time — no action needed,7.697,-2.804,-0.191,-0.342,0.061,-0.014,0.383,-0.01,-1.851,0.013,0.002,0.327,-0.036,routing_complexity,0.383,week_of_month,0.327,base_production_per_week,0.061,supply_risk,-0.01,Base: 7.7h | Drivers: routing_complexity: +0.38h | week_of_month: +0.33h | base_production_per_week: +0.06h | Helping: supply_risk: -0.01h,12
F5,P117,2026-04-25,Medium,143.99,0.48,0.08,31,0.14,1.0129974458365891,4.340000000000001,0.2799999999999999,5,1,3,1,0.8599999999999999,1.42,low risk,10.0,10.0,none_needed,0.0,1.42,On-time — no action needed,7.697,-4.183,-0.142,-0.326,-0.189,-0.057,0.029,-0.013,-1.9,0.013,-0.0,0.404,-0.023,week_of_month,0.404,routing_complexity,0.029,day_of_week,0.013,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.40h | routing_complexity: +0.03h | day_of_week: +0.01h | Helping: is_weekend: -0.00h,37
F4,P120,2026-04-25,Low,319.4,0.48,0.08,49,0.08,1.0015695689436166,3.92,0.2799999999999999,5,1,3,0,3.299999999999999,3.54,low risk,10.0,10.0,none_needed,0.0,3.54,On-time — no action needed,7.697,-1.929,-0.2,-0.281,0.21,-0.028,0.063,-0.009,-2.176,0.015,-0.0,0.497,0.1,week_of_month,0.497,base_production_per_week,0.21,priority_encoded,0.1,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.50h | base_production_per_week: +0.21h | priority_encoded: +0.10h | Helping: is_weekend: -0.00h,38
F5,P19,2026-04-25,Medium,818.97,0.48,0.08,31,0.14,1.0126326197974194,4.340000000000001,0.2799999999999999,5,1,3,1,8.68,8.34,HIGH RISK,-17.2,17.2,factory_swap,27.2,1.063,Swap to F3 (dist 120km) → pred 1.06h [Δ +27.2],7.697,4.268,-0.458,-0.543,-0.216,-0.013,0.048,-0.024,-3.4,0.1,0.006,0.315,0.025,distance_km,4.268,week_of_month,0.315,day_of_week,0.1,production_variability,-0.013,Base: 7.7h | Drivers: distance_km: +4.27h | week_of_month: +0.31h | day_of_week: +0.10h | Helping: production_variability: -0.01h,16
F4,P65,2026-04-25,High,293.29,0.48,0.08,49,0.08,1.0143401710188664,3.92,0.2799999999999999,5,1,3,2,1.8800000000000008,3.27,low risk,15.0,20.0,none_needed,0.0,3.27,On-time — no action needed,7.697,-2.258,-0.176,-0.339,0.175,-0.029,-0.109,-0.013,-2.082,0.013,0.002,0.332,-0.051,week_of_month,0.332,base_production_per_week,0.175,day_of_week,0.013,supply_risk,-0.013,Base: 7.7h | Drivers: week_of_month: +0.33h | base_production_per_week: +0.18h | day_of_week: +0.01h | Helping: supply_risk: -0.01h,13
F3,P103,2026-04-25,High,298.85,0.48,0.08,43,0.15,1.001724499957636,6.45,0.2799999999999999,5,1,3,2,3.830000000000001,3.09,low risk,15.0,20.0,none_needed,0.0,3.09,On-time — no action needed,7.697,-2.215,-0.184,-0.288,-0.013,-0.031,0.027,0.034,-2.092,0.017,0.002,0.503,-0.049,week_of_month,0.503,supply_risk,0.034,routing_complexity,0.027,base_production_per_week,-0.013,Base: 7.7h | Drivers: week_of_month: +0.50h | supply_risk: +0.03h | routing_complexity: +0.03h | Helping: base_production_per_week: -0.01h,14
F5,P172,2026-04-25,High,559.82,0.48,0.08,31,0.14,1.0121560851920028,4.340000000000001,0.2799999999999999,5,1,3,2,4.73,5.49,low risk,15.0,20.0,none_needed,0.0,5.49,On-time — no action needed,7.697,0.933,-0.391,-0.625,-0.201,-0.029,0.056,-0.024,-2.628,0.02,0.002,0.449,-0.038,distance_km,0.933,week_of_month,0.449,routing_complexity,0.056,supply_risk,-0.024,Base: 7.7h | Drivers: distance_km: +0.93h | week_of_month: +0.45h | routing_complexity: +0.06h | Helping: supply_risk: -0.02h,15
F2,P82,2026-04-25,Medium,266.34,0.48,0.08,42,0.06,1.0409860586378583,2.52,0.2799999999999999,5,1,3,1,2.01,3.15,low risk,10.0,10.0,none_needed,0.0,3.15,On-time — no action needed,7.697,-2.42,-0.15,-0.42,-0.083,0.054,-0.065,0.008,-1.818,0.013,-0.0,0.287,-0.02,week_of_month,0.287,production_variability,0.054,day_of_week,0.013,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.29h | production_variability: +0.05h | day_of_week: +0.01h | Helping: is_weekend: -0.00h,39
F2,P123,2026-04-25,Medium,271.5,0.48,0.08,42,0.06,1.013184501141683,2.52,0.2799999999999999,5,1,3,1,1.38,3.11,low risk,10.0,10.0,none_needed,0.0,3.11,On-time — no action needed,7.697,-2.47,-0.165,-0.397,-0.132,0.054,0.039,0.022,-1.891,0.013,-0.0,0.394,-0.022,week_of_month,0.394,production_variability,0.054,routing_complexity,0.039,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.39h | production_variability: +0.05h | routing_complexity: +0.04h | Helping: is_weekend: -0.00h,40
F5,P30,2026-04-25,Medium,657.75,0.48,0.08,31,0.14,1.010774272619705,4.340000000000001,0.2799999999999999,5,1,3,1,4.98,6.19,low risk,10.0,10.0,none_needed,0.0,6.19,On-time — no action needed,7.697,2.181,-0.421,-0.703,-0.183,-0.027,0.052,-0.024,-2.859,0.048,-0.0,0.372,-0.005,distance_km,2.181,week_of_month,0.372,routing_complexity,0.052,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +2.18h | week_of_month: +0.37h | routing_complexity: +0.05h | Helping: is_weekend: -0.00h,41
F3,P40,2026-04-25,Low,739.68,0.48,0.08,43,0.15,0.9988795051413976,6.45,0.2799999999999999,5,1,3,0,7.210000000000001,7.09,low risk,10.0,10.0,none_needed,0.0,7.09,On-time — no action needed,7.697,3.344,-0.37,-0.69,0.016,-0.0,0.023,-0.008,-3.395,0.048,-0.0,0.467,0.043,distance_km,3.344,week_of_month,0.467,day_of_week,0.048,production_variability,-0.0,Base: 7.7h | Drivers: distance_km: +3.34h | week_of_month: +0.47h | day_of_week: +0.05h | Helping: production_variability: -0.00h,42
F1,P38,2026-04-25,Low,467.75,0.48,0.08,30,0.17,1.0063442598080437,5.1000000000000005,0.2799999999999999,5,1,3,0,3.4000000000000004,5.14,low risk,10.0,10.0,none_needed,0.0,5.14,On-time — no action needed,7.697,0.267,-0.318,-0.423,-0.113,0.013,0.143,-0.009,-2.497,0.025,-0.0,0.428,0.082,week_of_month,0.428,distance_km,0.267,routing_complexity,0.143,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.43h | distance_km: +0.27h | routing_complexity: +0.14h | Helping: is_weekend: -0.00h,43
F1,P84,2026-04-26,Medium,701.87,0.53,0.44,30,0.17,1.0328227739559055,5.1000000000000005,0.485,6,1,3,1,12.37,9.86,HIGH RISK,-20.24,20.24,reschedule,30.24,6.638,Reschedule to 2026-04-10 (severity 0.31) → pred 6.64h [Δ +30.2],7.697,3.747,-0.411,-0.454,-0.04,-0.016,0.435,-0.01,-0.628,0.063,-0.0,0.256,0.009,distance_km,3.747,routing_complexity,0.435,week_of_month,0.256,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +3.75h | routing_complexity: +0.44h | week_of_month: +0.26h | Helping: is_weekend: -0.00h,5
F3,P184,2026-04-26,Medium,752.16,0.53,0.44,43,0.15,0.999967967588728,6.45,0.485,6,1,3,1,13.88,9.98,HIGH RISK,-20.48,20.48,reschedule,30.48,6.706,Reschedule to 2026-04-20 (severity 0.33) → pred 6.71h [Δ +30.5],7.697,3.461,-0.384,-0.485,-0.061,-0.017,-0.037,-0.015,-0.775,0.096,-0.0,0.471,-0.019,distance_km,3.461,week_of_month,0.471,day_of_week,0.096,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +3.46h | week_of_month: +0.47h | day_of_week: +0.10h | Helping: is_weekend: -0.00h,4
F2,P45,2026-04-26,Medium,83.75,0.53,0.44,42,0.06,1.042481914068123,2.52,0.485,6,1,3,1,0.8200000000000003,1.65,low risk,10.0,10.0,none_needed,0.0,1.65,On-time — no action needed,7.697,-5.547,-0.138,-0.154,-0.117,0.061,-0.055,-0.008,-0.174,0.013,-0.0,0.275,-0.006,week_of_month,0.275,production_variability,0.061,day_of_week,0.013,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.27h | production_variability: +0.06h | day_of_week: +0.01h | Helping: is_weekend: -0.00h,28
F5,P188,2026-04-26,High,76.22,0.53,0.44,31,0.14,1.0143667134802437,4.340000000000001,0.485,6,1,3,2,0.9000000000000001,1.5,low risk,15.0,20.0,none_needed,0.0,1.5,On-time — no action needed,7.697,-5.691,-0.15,-0.109,-0.108,-0.039,-0.018,-0.007,-0.27,0.013,0.002,0.333,-0.043,week_of_month,0.333,day_of_week,0.013,is_weekend,0.002,supply_risk,-0.007,Base: 7.7h | Drivers: week_of_month: +0.33h | day_of_week: +0.01h | is_weekend: +0.00h | Helping: supply_risk: -0.01h,6
